total_recommend,days_since_earliest,word_count,weekly_recommend,remaining_attributes,status,contract_vip,author_level,total_works,total_creation_words,creation_days
2,0.0,2030,0,"['玄幻', '东方玄幻']",0,0,0,1,37000,12
10,24.0,25700,0,"['短篇', '生活随笔']",0,0,0,1,26000,9
61,17.0,36000,0,"['科幻', '进化变异']",0,0,0,1,36000,12
13,111.0,21300,0,"['科幻', '进化变异']",0,0,0,2,28000,16
1210,153.0,451700,0,"['历史', '两晋隋唐']",0,1,1,1,450000,142
39,16.0,10000,0,"['轻小说', '恋爱日常', '轻小说']",0,0,0,1,10000,5
5,111.0,20099,0,"['科幻', '星际文明']",0,0,0,1,20000,7
5,0.0,1040,0,"['仙侠', '修真文明']",0,0,0,0,0,1
2,103.0,1823,0,"['仙侠', '古典仙侠']",0,0,0,0,0,1
31,33.0,34900,0,"['现代言情', '都市生活']",0,0,0,2,36000,17
82,23.0,129100,0,"['玄幻', '东方玄幻']",0,0,0,1,130000,23
97,33.0,104500,0,"['都市', '都市生活']",0,0,0,1,100000,72
4,0.0,6819,0,"['历史', '架空历史']",0,0,0,5,71000,19
9,10.0,3864,0,"['现实', '女性题材']",0,0,0,1,3864,3
14,0.0,27700,0,"['仙侠', '幻想修仙']",1,0,0,0,0,6
22,82.0,31900,0,"['玄幻', '东方玄幻']",0,0,0,1,32000,37
10,38.0,14800,0,"['短篇', '生活随笔']",0,0,0,1,15000,10
3,18.0,2173,0,"['游戏', '游戏异界']",0,0,0,1,2173,2
93,75.0,41300,0,"['都市', '娱乐明星']",0,0,0,2,66000,32
7,9.0,4064,0,"['玄幻', '东方玄幻']",0,0,0,1,4064,3
13,0.0,29200,0,"['玄幻', '高武世界']",0,0,1,1,190000,70
22,11.0,16500,0,"['游戏', '游戏异界']",0,0,0,5,76000,31
13,23.0,21300,0,"['浪漫青春', '青春校园']",0,0,0,1,21000,44
13200,153.0,684700,22,"['历史', '架空历史']",0,1,5,6,8820000,4307
2,0.0,1075,0,"['浪漫青春', '青春疼痛']",0,0,0,0,0,1
48,16.0,69200,0,"['都市', '都市生活']",0,0,0,1,69000,75
0,50.0,40500,0,"['现实生活', '行业人生']",1,0,0,1,41000,19
3,0.0,6202,0,"['武侠', '武侠幻想']",0,0,0,1,100000,29
3182,153.0,594100,11,"['轻小说', '恋爱日常', '轻小说']",0,1,1,2,830000,144
1821,153.0,1299100,0,"['军事', '战争幻想']",0,1,1,1,1300000,152
2,10.0,1681,0,"['科幻', '未来世界']",0,0,0,1,1681,4
0,24.0,113400,0,"['玄幻', '东方玄幻']",0,1,1,6,640000,119
18,17.0,13500,0,"['短篇', '短篇小说']",0,0,0,5,980000,765
20,30.0,117300,0,"['玄幻', '异世大陆']",1,0,1,2,160000,70
8275,154.0,940400,9,"['科幻', '时空穿梭']",0,1,3,1,940000,177
2,0.0,4400,0,"['科幻', '未来世界']",0,0,0,0,0,3
